id,poop_id,extraction_date,extraction_observer_id,extraction_volume,weigh_date,weigh_observer_id,hair,contaminants_removed,mass_g,extra,box_id
1830,A0794,NA,NA,1000,NA,NA,NA,NA,0.054,NA,9
1831,A0795,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1832,A0796,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.054,NA,NA
1833,A0800,NA,NA,1000,2015-11-11,NA,FALSE,leaves removed,0.048,NA,NA
1834,A0801,NA,NA,1000,NA,NA,NA,NA,0.051,NA,8
1835,A0805,NA,NA,1000,2015-11-11,NA,TRUE,bract and leaves removed,0.051,NA,NA
1836,A0811,NA,NA,1000,NA,NA,NA,NA,0.057,NA,27
1837,A0812,NA,NA,1000,NA,NA,NA,NA,0.057,NA,NA
1838,A0814,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.054,NA,48
1839,A0815,NA,NA,1000,2015-11-18,NA,FALSE,leaves removed,0.051,NA,48
1840,A0817,NA,NA,1000,2015-11-11,NA,TRUE,bracts removed,0.051,NA,48
1841,A0826,NA,NA,1000,NA,NA,NA,NA,0.055,NA,8
1842,A0828,NA,NA,1000,2015-11-11,NA,TRUE,NA,0.052,NA,48
1843,A0831,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1844,A0837,NA,NA,1000,NA,NA,NA,NA,0.055,NA,8
1845,A0838,NA,NA,1000,NA,NA,NA,NA,0.05,NA,9
1846,A0839,NA,NA,1000,2017-04-01,NA,TRUE,needles removed,0.052,NA,NA
1847,A0840,NA,NA,1000,NA,NA,NA,NA,0.057,NA,14
1848,A0841,NA,NA,1000,2015-11-11,NA,FALSE,leaves removed,0.053,NA,48
1849,A0843,NA,NA,1000,NA,NA,NA,NA,0.018,NA,NA
1850,A0846,NA,NA,1000,NA,NA,NA,NA,0.051,NA,9
1851,A0847,NA,NA,1000,2017-04-01,NA,FALSE,NA,0.013,NA,NA
1852,A0849,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1853,A0850,NA,NA,1000,NA,NA,NA,NA,0.02,NA,9
1854,A0851,NA,NA,1000,NA,NA,NA,NA,0.06,NA,1
1855,A0852,NA,NA,1000,NA,NA,NA,NA,0.052,NA,NA
1856,A0853,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
1857,A0861,NA,NA,1000,NA,NA,NA,NA,0.051,NA,5
1858,A0862,NA,NA,1000,2015-11-19,NA,FALSE,bract and needles removed,0.047,NA,48
1859,A0863,NA,NA,1000,2015-11-11,NA,FALSE,leaves removed,0.05,NA,NA
1860,A0864,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
1861,A0867,NA,NA,1000,2015-11-12,NA,FALSE,grass removed,0.049,NA,48
1862,A0869,NA,NA,1000,NA,NA,NA,NA,0.051,NA,8
1863,A0870,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.051,NA,48
1864,A0871,NA,NA,1000,NA,NA,NA,NA,0.053,NA,28
1865,A0872,NA,NA,1000,NA,NA,NA,NA,0.049,NA,4
1866,A0873,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1867,A0877,NA,NA,1000,NA,NA,NA,NA,0.054,NA,28
1868,A0880,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1869,A0881,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1870,A0882,NA,NA,1000,2015-11-17,NA,FALSE,bract and grass removed,0.047,NA,48
1871,A0887,NA,NA,1000,NA,NA,NA,NA,0.051,NA,9
1872,A0888,NA,NA,1000,NA,NA,NA,NA,0.053,NA,14
1873,A0889,NA,NA,1000,NA,NA,NA,NA,0.051,NA,9
1874,A0891,NA,NA,1000,NA,NA,NA,NA,0.051,NA,9
1875,A0893,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
1876,A0894,NA,NA,1000,NA,NA,NA,NA,0.05,NA,27
1877,A0896,NA,NA,1000,2015-11-11,NA,FALSE,grass removed,0.05,NA,NA
1878,A0898,NA,NA,1000,NA,NA,NA,NA,0.054,NA,28
1879,A0901,NA,NA,1000,NA,NA,NA,NA,0.058,NA,27
1880,A0902,NA,NA,1000,NA,NA,NA,NA,0.055,NA,NA
1881,A0905,NA,NA,1000,NA,NA,NA,NA,0.052,NA,26
1882,A0907,NA,NA,1000,NA,NA,NA,NA,0.051,NA,14
1883,A0908,NA,NA,1000,2015-11-11,NA,NA,NA,0.051,NA,NA
1884,A0909,NA,NA,1000,2015-11-11,NA,FALSE,leaves removed,0.052,NA,48
1885,A0910,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.05,NA,48
1886,A0912,NA,NA,1000,NA,NA,NA,NA,0.054,NA,27
1887,A0915,NA,NA,1000,NA,NA,NA,NA,0.051,NA,8
1888,A0916,NA,NA,1000,NA,NA,NA,NA,0.052,NA,NA
1889,A0917,NA,NA,1000,NA,NA,NA,NA,0.05,NA,27
