poop_id,lab,observer_id,date,dilution,volume_used,concentration,cv,plate_id,is_rerun,hormone,protocol_id
C0485,Boonstra,BJD,2011-06-01,9,10,18.988,0,T.2011.46,NA,Testosterone,TB910
C0491,Boonstra,BJD,2011-05-25,9,10,29.281,0,T.2011.36,NA,Testosterone,TB910
C0493,Boonstra,BJD,2011-05-25,9,10,24.093,0.8,T.2011.37,NA,Testosterone,TB910
C0504,Boonstra,BJD,2011-05-21,9,10,21.401,4.6,T.2011.31,NA,Testosterone,TB910
C0514,Boonstra,BJD,2011-05-25,9,10,15.955,1.7,T.2011.35,NA,Testosterone,TB910
C0515,Boonstra,BJD,2011-05-21,9,10,19.832,15.2,T.2011.31,NA,Testosterone,TB910
C0524,Boonstra,BJD,2011-05-25,9,10,11.127,12.1,T.2011.35,NA,Testosterone,TB910
C0530,Boonstra,BJD,2011-05-21,9,10,17.699,6.1,T.2011.31,NA,Testosterone,TB910
C0542,Boonstra,BJD,2011-06-01,9,10,16.343,2.8,T.2011.48,NA,Testosterone,TB910
C0551,Boonstra,BJD,2011-05-24,9,10,10.71,0.4,T.2011.34,NA,Testosterone,TB910
C0556,Boonstra,BJD,2011-06-01,9,10,16.008,14,T.2011.48,NA,Testosterone,TB910
C0561,Boonstra,BJD,2011-05-21,9,10,21.903,2.2,T.2011.29,NA,Testosterone,TB910
C0564,Boonstra,BJD,2011-05-25,9,10,10.834,0,T.2011.35,NA,Testosterone,TB910
C0589,Boonstra,BJD,2011-05-25,9,10,24.01,0,T.2011.35,NA,Testosterone,TB910
C0599,Boonstra,BJD,2011-05-25,9,10,6.707,6.8,T.2011.36,NA,Testosterone,TB910
C0609,Boonstra,BJD,2011-06-01,9,10,12.784,0.6,T.2011.46,NA,Testosterone,TB910
C0613,Boonstra,BJD,2011-05-25,9,10,72.275,15.5,T.2011.36,NA,Testosterone,TB910
C0622,Boonstra,BJD,2011-06-01,9,10,22.467,0,T.2011.48,NA,Testosterone,TB910
C0627,Boonstra,BJD,2011-05-25,9,10,24.5,0.6,T.2011.37,NA,Testosterone,TB910
C0631,Boonstra,BJD,2011-06-01,9,10,12.181,6,T.2011.48,NA,Testosterone,TB910
C0637,Boonstra,BJD,2011-05-25,9,10,34.562,0,T.2011.38,NA,Testosterone,TB910
C0658,Boonstra,BJD,2011-05-25,9,10,13.845,0,T.2011.35,NA,Testosterone,TB910
C0665,Boonstra,BJD,2011-05-21,9,10,13.716,2,T.2011.29,NA,Testosterone,TB910
C0668,Boonstra,BJD,2011-06-01,9,10,25.195,9.7,T.2011.47,NA,Testosterone,TB910
C0681,Boonstra,BJD,2011-05-31,9,10,50.752,1.7,T.2011.44,NA,Testosterone,TB910
C0696,Boonstra,BJD,2011-05-21,9,10,24.882,2.4,T.2011.29,NA,Testosterone,TB910
